study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	median	mean	mean_pm	min	max	cv	sd	se	unit	comments
Heise2015	NA	all	10.0	HCTZ25	auc measurement	torasemide	plasma	LC MS/MS	NA	NA	NA	NA	1340.0	NA	NA	NA	14.4	1.44	0.455367983064247	nmol*h/l	NA
Heise2015	NA	all	10.0	HCTZ25	muliple_dosing_cmax	torasemide	plasma	LC MS/MS	NA	NA	NA	NA	721.0	NA	NA	NA	18.4	1.84	0.581859089470982	nmol/l	NA
Heise2015	NA	all	10.0	HCTZ25	tmax	torasemide	plasma	LC MS/MS	NA	NA	NA	0.5	NA	NA	0.5	1.5	NA	NA	NA	hr	NA
Heise2015	NA	all	10.0	HCTZ25	thalf	torasemide	plasma	LC MS/MS	NA	NA	NA	NA	4.8	NA	NA	NA	17.1	1.71	0.540749479888793	hr	NA
Heise2015	NA	all	10.0	HCTZ25	fractional excretion	torasemide	urine	LC MS/MS	NA	24.0	hr	NA	22.4	NA	NA	NA	25.2	2.52	0.796893970362432	percent	NA
Heise2015	NA	all	10.0	HCTZ25	clearance_renal	torasemide	urine	LC MS/MS	NA	NA	NA	NA	14.2	NA	NA	NA	25.7	2.57	0.812705358663274	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25	mrt	torasemide	plasma	LC MS/MS	NA	NA	NA	NA	3.2	NA	NA	NA	18.2	1.82	0.575534534150645	hr	NA
Heise2015	NA	all	10.0	HCTZ25	oral clearance	torasemide	plasma	LC MS/MS	NA	NA	NA	NA	63.4	NA	NA	NA	13.4	1.34	0.423745206462563	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25	vd_ss	torasemide	plasma	LC MS/MS	NA	NA	NA	NA	26.1	NA	NA	NA	20.0	2.0	0.632455532033676	l	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	auc measurement	torasemide	plasma	LC MS/MS	NA	NA	NA	NA	1360.0	NA	NA	NA	16.2	1.62	0.512288980947278	nmol*h/l	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	muliple_dosing_cmax	torasemide	plasma	LC MS/MS	NA	NA	NA	NA	747.0	NA	NA	NA	12.1	1.21	0.382635596880374	nmol/l	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	tmax	torasemide	plasma	LC MS/MS	NA	NA	NA	0.5	NA	NA	0.5	1.0	NA	NA	NA	hr	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	thalf	torasemide	plasma	LC MS/MS	NA	NA	NA	NA	4.6	NA	NA	NA	13.9	1.39	0.439556594763405	hr	NA
