study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	median	mean	mean_pm	min	max	cv	sd	se	unit	comments
Heise2015	NA	all	11.0	HCTZ25	auc measurement	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	1050.0	NA	NA	NA	18.3	2.013	NA	nmol*h/l	NA
Heise2015	NA	all	11.0	HCTZ25	muliple_dosing_cmax	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	211.0	NA	NA	NA	26.2	2.882	NA	nmol/l	NA
Heise2015	NA	all	11.0	HCTZ25	tmax	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	1.5	NA	NA	1.0	3.0	NA	NA	NA	hr	NA
Heise2015	NA	all	11.0	HCTZ25	thalf	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	10.6	NA	NA	NA	27.0	2.97	NA	hr	NA
Heise2015	NA	all	11.0	HCTZ25	fractional excretion	hydrochlorothiazide	urine	LC MS/MS	24.0	hr	NA	72.1	NA	NA	NA	20.5	2.255	NA	percent	NA
Heise2015	NA	all	11.0	HCTZ25	clearance_renal	hydrochlorothiazide	urine	LC MS/MS	NA	NA	NA	291.0	NA	NA	NA	24.7	2.717	NA	ml/min	NA
Heise2015	NA	all	11.0	HCTZ25	mrt	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	10.1	NA	NA	NA	21.1	2.321	NA	hr	NA
Heise2015	NA	all	11.0	HCTZ25	oral clearance	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	408.0	NA	NA	NA	17.2	1.892	NA	ml/min	NA
Heise2015	NA	all	11.0	HCTZ25	vd_ss	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	369.0	NA	NA	NA	27.8	3.058	NA	l	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	auc measurement	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	1020.0	NA	NA	NA	18.1	1.81	NA	nmol*h/l	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	muliple_dosing_cmax	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	213.0	NA	NA	NA	28.7	2.87	NA	nmol/l	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	tmax	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	1.8	NA	NA	1.0	2.0	NA	NA	NA	hr	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	thalf	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	13.5	NA	NA	NA	26.7	2.67	NA	hr	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	fractional excretion	hydrochlorothiazide	urine	LC MS/MS	24.0	hr	NA	67.7	NA	NA	NA	27.2	2.72	NA	percent	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	clearance_renal	hydrochlorothiazide	urine	LC MS/MS	NA	NA	NA	289.0	NA	NA	NA	34.4	3.44	NA	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	mrt	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	11.3	NA	NA	NA	21.0	2.1	NA	hr	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	oral clearance	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	422.0	NA	NA	NA	18.9	1.89	NA	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	vd_ss	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	494.0	NA	NA	NA	29.8	2.98	NA	l	NA
