study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	0.5	hr		3.3281908724699705e-05	20.375938550334	8.613049634699128e-05	3.516262789046322e-05	unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	0.75	hr		0.00020902394073942125	29.4573040600672	0.0002696259016079732	0.0001100743133962328	unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	1.0	hr		0.0006553805638279377	236.069709773019	0.00033704481821989255	0.00013759797084797449	unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	1.5	hr		0.0008692869734201446	219.642810855646	0.00032207804267382904	0.00013148781031753782	unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	2.0	hr		0.0010464867079055527	294.241253877325	0.00014232744160184147	5.8104934720047035e-05	unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	3.0	hr		0.001309167740584881	371.532655935439	0.00014980460876991807	6.115747543392678e-05	unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	4.0	hr		0.001045928006610168	299.084346406075	0.00010110971310299061	4.1277867523587504e-05	unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	5.0	hr		0.0007735052549803998				unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	6.0	hr		0.0005622399787845584	153.26840163474	0.00011610137106892376	4.739818625939873e-05	unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	8.0	hr		0.0003216784382997964	89.3918971461157	5.242725864599564e-05	2.14033387159345e-05	unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	12.0	hr		0.00017532409442232988	32.1668956340668	0.00016478382552591436	6.727271506705006e-05	unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	18.0	hr		7.23351292721169e-05	15.6175207582709	4.8682454456994964e-05	1.987452880765301e-05	unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
Hunninghake1986	definitive	6.0	CHOL_single_4	concentration	hydrochlorothiazide	plasma	HPLC	hctz75_chol_single_4	24.0	hr		1.0624031645491571e-05	0.885628623517163	1.873646215492815e-05	7.649128644090293e-06	unit possibly false; µg/ml → ng/ml; likely SE, not SD	mole/meter^3	ng/ml
